ProjectName,Street,City,State,Zipcode,full_address,CertLevel,CertDate,LEEDSystemVersionDisplayName,GrossFloorArea,ProjectTypes,OwnerOrganization
The Solaire/20 River Terrace,"20 River Terrace, Battery Park CIty",New York,NY,10282,"20 River Terrace, Battery Park CIty, New York, NY 10282",Gold,2004-04-13 00:00:00,LEED-NC 2.0,383000.0,Multi-Unit Residence,"Albanese Organization, Inc"
Hearst Headquarters,959 Eighth Ave,New York,NY,10019,"959 Eighth Ave, New York, NY 10019",Gold,2006-08-17 00:00:00,LEED-NC 2.0,850000.0,Commercial Office,
Bronx Library Center,310 East Kingsbridge Road,New York,NY,10458,"310 East Kingsbridge Road, New York, NY 10458",Silver,2006-07-21 00:00:00,LEED-NC 2.1,76500.0,Assembly,New York Public Library
The Helena,601 West 57th Street,New York,NY,10019,"601 West 57th Street, New York, NY 10019",Gold,2006-06-09 00:00:00,LEED-NC 2.1,602021.0,Multi-Unit Residence,The Durst Organization
York Internationals New York City Office,60 East 42nd Street,New York,NY,10165,"60 East 42nd Street, New York, NY 10165",,,LEED-CI 2.0,12000.0,Commercial Office,Lincoln Building Associates
Cooper Union New Academic Building,30 Cooper Square,New York,NY,10003-7120,"30 Cooper Square, New York, NY 10003-7120",Platinum,2010-08-30 00:00:00,LEED-NC 2.2,190131.0,"Laboratory, Higher Education, Campus (corp/school)",Cooper Union
Clinton Green,783 Tenth Avenue,New York,NY,10019,"783 Tenth Avenue, New York, NY 10019",Certified,2008-11-12 00:00:00,LEED-NC 2.1,653000.0,"Multi-Unit Residence, Assembly","The Dermot Company, Inc."
Sukyo Mahikari Dojo Relocation,124 E. 31st St.,New York,NY,10016,"124 E. 31st St., New York, NY 10016",Silver,2011-10-08 00:00:00,LEED-NC 2.1,9200.0,Commercial Office,Bishop of North American Region of Sukyo
Millennium Tower Residences,30 West Street,New York,NY,10280,"30 West Street, New York, NY 10280",Gold,2007-10-15 00:00:00,LEED-NC 2.1,440000.0,"Retail, Multi-Unit Residence",Millennium Partners
One Bryant Park,1111 Avenue of the Americas,New York,NY,10036,"1111 Avenue of the Americas, New York, NY 10036",Platinum,2010-05-07 00:00:00,LEED-CS 1.0 Pilot,2200000.0,"Commercial Office, Restaurant, Retail, Financial & Comm., Assembly",
Jamaica WPCP - Construction Manager's,150-20 134th Street,New York,NY,11430,"150-20 134th Street, New York, NY 11430",Silver,2012-02-21 00:00:00,LEED-NC 2.1,6020.0,Industrial,NYC Department of Environmental Protecti
Octagon Park Apartments,888 MAIN STREET,NEW YORK,NY,10044,"888 MAIN STREET, NEW YORK, NY 10044",Silver,2007-12-31 00:00:00,LEED-NC 2.1,560000.0,"Multi-Unit Residence, Daycare, Park (eg. greenway)",BECKER + BECKER ASSOCIATES
ONE RIVER TERRACE,SITE 16/17 BATTERY PARK CITY,NEW YORK,NY,10281,"SITE 16/17 BATTERY PARK CITY, NEW YORK, NY 10281",Gold,2010-06-18 00:00:00,LEED-NC 2.1,560000.0,"Retail, Multi-Unit Residence, Library, Community Dev.",THE SHELDRAKE ORGANIZATION
AMERICAN JEWISH COMMITTEE,165 East 56th Street,NEW YORK,NY,10022,"165 East 56th Street, NEW YORK, NY 10022",Gold,2011-04-24 00:00:00,LEED-EB 2.0,64449.0,Commercial Office,AMERICAN JEWISH COMMITTEE
THE VANGUARD CHELSEA,77 WEST 24TH STREET,NEW YORK,NY,10010,"77 WEST 24TH STREET, NEW YORK, NY 10010",Platinum,2010-05-06 00:00:00,LEED-EB 2.0,284511.0,"Commercial Office, Multi-Unit Residence", 
DAGHER ENGINEERING FUTURE FACI,"29 BROADWAY, SUITE 2100",NEW YORK,NY,10026,"29 BROADWAY, SUITE 2100, NEW YORK, NY 10026",Gold,2007-01-19 00:00:00,LEED-CI 2.0,6816.0,Commercial Office,"DAGHER ENGINEERING, PLLC"
THURGOOD MARSHALL U.S. Courthouse,40 CENTRE STREET,NEW YORK,NY,10007,"40 CENTRE STREET, NEW YORK, NY 10007",Silver,2013-07-23 00:00:00,LEED-NC 2.1,561582.0,"Commercial Office, Public Order/Safety, Library, Other",US General Services Administration
The Verdesian,211 NORTH END AVENUE,NEW YORK,NY,10282,"211 NORTH END AVENUE, NEW YORK, NY 10282",Platinum,2008-01-07 00:00:00,LEED-NC 2.2,300000.0,Multi-Unit Residence, 
American Cancer Society Headquarters,W.32ND STREET,NEW YORK,NY,10001,"W.32ND STREET, NEW YORK, NY 10001",Gold,2008-11-25 00:00:00,LEED-CI 2.0,77000.0,"Commercial Office, Special Needs, Health Care",AMERICAN CANCER SOCIETY
WTC MEMORIAL & MUSEUM PROJECT,1 WORLD TRADE CENTER,NEW YORK,NY,10006,"1 WORLD TRADE CENTER, NEW YORK, NY 10006",Gold,2015-07-06 00:00:00,LEED-NC 2.1,455000.0,Interpretive Center,THE WTC MEMORIAL FOUNDATION
HERMAN MILLER NATIONAL DESIGN NYC,1177 AVENUE OF  THE AMERICAS,NEW YORK,NY,10036,"1177 AVENUE OF  THE AMERICAS, NEW YORK, NY 10036",Gold,2006-11-01 00:00:00,LEED-CI 2.0,16000.0,Commercial Office,"HERMAN MILLER, INC."
Cook+Fox Office,641 6TH AVENUE,NEW YORK,NY,10011,"641 6TH AVENUE, NEW YORK, NY 10011",Platinum,2006-12-13 00:00:00,LEED-CI 2.0,12121.0,Commercial Office,COOK + FOX ARCHITECTS
GENSLER NEW YORK OFFICE,"1230 AVENUE OF THE AMERICAS, Suite 1500",NEW YORK,NY,10020,"1230 AVENUE OF THE AMERICAS, Suite 1500, NEW YORK, NY 10020",Silver,2007-07-30 00:00:00,LEED-CI 2.0,56600.0,Commercial Office,GENSLER
THE SYNERGOS INSTITUTE,51 MADISON AVENUE,NEW YORK,NY,10010,"51 MADISON AVENUE, NEW YORK, NY 10010",,,LEED-CI 2.0,20383.0,Commercial Office,THE SYNERGOS INSTITUTE
The Lee,133 Pitt Street,New York,NY,10002,"133 Pitt Street, New York, NY 10002",Silver,2015-06-03 00:00:00,LEED-NC 2.2,99000.0,"Multi-Unit Residence, Community Dev.",Common Ground Community
Buro Happold NY,100 Broadway,New York,NY,10005,"100 Broadway, New York, NY 10005",Silver,2008-03-07 00:00:00,LEED-CI 2.0,15463.0,Commercial Office,Buro Happold
JP Morgan Chase,270 Park Avenue,New York,NY,10017-2014,"270 Park Avenue, New York, NY 10017-2014",Platinum,2011-11-03 00:00:00,LEED-NC 2.2,1454450.0,"Commercial Office, Financial & Comm.",JP Morgan Chase
Seven World Trade Center,250 Greenwich Street,New York,NY,20007,"250 Greenwich Street, New York, NY 20007",Gold,2006-03-07 00:00:00,LEED-CS 1.0 Pilot,1731994.0,,
SILVERSTEIN PROPERTIES OFFICE,TBD,NEW YORK,NY,99999,"TBD, NEW YORK, NY 99999",,,LEED-CI 2.0,34349.0,,
417 East 118th Street,417 East 118th Street,New York,NY,10035,"417 East 118th Street, New York, NY 10035",,,LEED-NC 2.2,3434.0,Multi-Unit Residence,Ellen B. Senisi
Perkins + Will New York Office,"215 Park Avenue South, 4/F",New York,NY,10003,"215 Park Avenue South, 4/F, New York, NY 10003",Gold,2008-05-05 00:00:00,LEED-CI 2.0,13350.0,Commercial Office,Perkins + Will
55 Exchange Place,55 Exchange Place,New York,NY,10006-3002,"55 Exchange Place, New York, NY 10006-3002",Silver,2009-10-22 00:00:00,LEED-CI 2.0,90000.0,Commercial Office,Tides Two River Fund
High Line 23,511-517 W. 23rd Street,New York,NY,10011,"511-517 W. 23rd Street, New York, NY 10011",Silver,2014-01-02 00:00:00,LEED-NC 2.2,38800.0,Multi-Unit Residence,23 High Line LLC
Battery Park City Maintenance Facility,77 Battery Place,New York,NY,10281,"77 Battery Place, New York, NY 10281",Platinum,2010-09-07 00:00:00,LEED-CI 2.0,43600.0,Other,Battery Park City Authority
303 East 33rd St. Residential Building,303 East 33rd Street,New York,NY,10003,"303 East 33rd Street, New York, NY 10003",Certified,2011-10-25 00:00:00,LEED-NC 2.2,164000.0,Multi-Unit Residence,KTL 303 LLC
NYC DHS New Family Intake Center,151 East 151st Street,New York,NY,10455,"151 East 151st Street, New York, NY 10455",Gold,2012-01-11 00:00:00,LEED-NC 2.2,78000.0,Community Dev.,NYC Dept. of Homeless Services
NYTW Scenery & Costume Shop,72 East 4th Street,New York,NY,10003,"72 East 4th Street, New York, NY 10003",,,LEED-NC 2.2,4800.0,"Industrial, Other",New York Theatre Workshop
West 12th,385 West 12th Street,New York,NY,10014,"385 West 12th Street, New York, NY 10014",,,LEED-NC 2.2,48890.0,Multi-Unit Residence,"383-391 West 12th Street, LLC"
WNYC New York Public Radio Relocation,160 Varick Street,New York,NY,10013,"160 Varick Street, New York, NY 10013",Gold,2010-06-07 00:00:00,LEED-CI 2.0,70000.0,"Commercial Office, Other",WNYC New York Public Radio
McVickar Hall Development Offices,628 West 113th street,New York,NY,10027,"628 West 113th street, New York, NY 10027",Gold,2010-12-23 00:00:00,LEED-NC 2.2,55000.0,"Commercial Office, Higher Education, Campus (corp/school)",Columbia Univeristy
The Edge,22 North 6th St,New York,NY,11211,"22 North 6th St, New York, NY 11211",Gold,2012-06-08 00:00:00,LEED-NC 2.2,786248.4,"Multi-Unit Residence, Retail, Restaurant, Park (eg. greenway)",Douglaston Development
86th & Lex,1269 Lexington Avenue,New York,NY,10028,"1269 Lexington Avenue, New York, NY 10028",Silver,2010-12-03 00:00:00,LEED-NC 2.2,359546.0,Multi-Unit Residence,ExTel Development
Eleven Times Square,Eleven Times Square,New York,NY,10036,"Eleven Times Square, New York, NY 10036",Gold,2010-10-19 00:00:00,LEED-CS 2.0,973153.0,"Commercial Office, Retail",SJP Properties
City of New York-Riverside Health Center,160 West 100th Street,New York,NY,10025,"160 West 100th Street, New York, NY 10025",Gold,2016-02-11 00:00:00,LEED-NC 2.2,37100.0,"Health Care, Library, Community Dev., Other",Dept. of Health/Mental Hygiene
NoVo Foundation,535 Fifth Avenue 33rd floor,New York,NY,10017,"535 Fifth Avenue 33rd floor, New York, NY 10017",,,LEED-CI 2.0,3500.0,Commercial Office,NoVo Foundation
316 11th Avenue,316 11th Avenue,New York,NY,10001,"316 11th Avenue, New York, NY 10001",,,LEED-NC 2.2,390000.0,"Multi-Unit Residence, Special Needs, Retail, Restaurant","DD 11th Avenue, LLC"
160 West 62nd Street Condominium,160 West 62nd Street,New York,NY,10023,"160 West 62nd Street, New York, NY 10023",,,LEED-NC 2.2,445000.0,"Multi-Unit Residence, Restaurant",Continental 62nd Street Residential Hold
West 38th  Street,West 38th St,New York,NY,10018,"West 38th St, New York, NY 10018",,,LEED-NC 2.2,750000.0,"Multi-Unit Residence, Retail",Glenwoodb Management
100 Eleventh Avenue,100 Eleventh Avenue,New York,NY,10011,"100 Eleventh Avenue, New York, NY 10011",,,LEED-NC 2.2,160000.0,"Commercial Office, Multi-Unit Residence","West Chelsea Development Partners, LLC"
Action Center To End World Hunger,Six River Terrace,New York,NY,10285,"Six River Terrace, New York, NY 10285",Platinum,2010-03-25 00:00:00,LEED-CI 2.0,4000.0,"Interpretive Center, Community Dev., Assembly",Mercy Corps
9 Crosby Street Hotel,9 Crosby Street,New York,NY,10013,"9 Crosby Street, New York, NY 10013",,,LEED-NC 2.2,115000.0,Hotel/Resort,Cape Advisors
200 Lafayette Street Redevelopment,200-218 Lafayette Street,New York,NY,10003,"200-218 Lafayette Street, New York, NY 10003",,,LEED-NC 2.2,93000.0,"Multi-Unit Residence, Retail","420 Broome Street Owner, LLC"
One Jackson Square,122 Greenwich Avenue,New York,NY,10011-7704,"122 Greenwich Avenue, New York, NY 10011-7704",Silver,2011-11-16 00:00:00,LEED-NC 2.2,80000.0,"Multi-Unit Residence, Retail",Hines
Trinity Real Estate,1 Hudson Square- 2nd floor,New York,NY,10013,"1 Hudson Square- 2nd floor, New York, NY 10013",Gold,2008-10-03 00:00:00,LEED-CI 2.0,10900.0,Commercial Office,Trinity Real Estate
Columbia University NWC Building,550 West 120th Street,New York,NY,10027,"550 West 120th Street, New York, NY 10027",Gold,2012-02-23 00:00:00,LEED-NC 2.2,184000.0,"Laboratory, Higher Education, Library, Assembly","Columbia University, Facilities"
250 West 55th Street,250 West 55th Street,New York,NY,10019,"250 West 55th Street, New York, NY 10019",Gold,2013-10-24 00:00:00,LEED-CS 2.0,976594.0,"Commercial Office, Retail", 
545 Madison Avenue,545 Madison Avenue,New York,NY,10011,"545 Madison Avenue, New York, NY 10011",Gold,2009-08-12 00:00:00,LEED-CS 2.0,125124.0,Commercial Office, 
148 Lafayette,148 Lafayette St.,New York,NY,10013,"148 Lafayette St., New York, NY 10013",Gold,2010-03-14 00:00:00,LEED-CS 2.0,132985.0,"Commercial Office, Retail",Louis Dreyfus Property Group
520 Madison Avenue,520 Madison Ave,New York,NY,10022,"520 Madison Ave, New York, NY 10022",Silver,2009-05-22 00:00:00,LEED-EB O&M,1047461.0,"Commercial Office, Retail",Tishman Speyer
Poets House,Site 16/17 Battery Park City,New York,NY,10281,"Site 16/17 Battery Park City, New York, NY 10281",Gold,2011-07-25 00:00:00,LEED-CI 2.0,11000.0,"Commercial Office, Library",Poets House
The Brompton,205 East 85th street,New York,NY,10028,"205 East 85th street, New York, NY 10028",Silver,2011-11-07 00:00:00,LEED-NC 2.2,325504.0,"Retail, Multi-Unit Residence",86th & 3rd Associates
World Trade Center Tower One,1 World Trade Center,New York,NY,10048,"1 World Trade Center, New York, NY 10048",Gold,2016-07-13 00:00:00,LEED-CS 2.0,3420100.0,"Commercial Office, Retail",STV Construction
World Trade Center 4,150 Greenwich Street,New York,NY,10007,"150 Greenwich Street, New York, NY 10007",Gold,2016-06-20 00:00:00,LEED-CS 2.0,2190000.0,"Commercial Office, Retail", 
50 West St,47 - 50 West St,New York,NY,10014,"47 - 50 West St, New York, NY 10014",,,LEED-NC 2.2,541000.0,"Multi-Unit Residence, Retail, Hotel/Resort, Daycare, Restaurant", 
Bank of America at 50 Rockefeller Plaza,"Viridian Energy & Environmental, LLC",New York,NY,10018,"Viridian Energy & Environmental, LLC, New York, NY 10018",Silver,2008-05-05 00:00:00,LEED-CI 2.0,133530.0,Commercial Office,Bank of America
The Abington,505 West 29th Street,New York,NY,10001,"505 West 29th Street, New York, NY 10001",Gold,2016-01-15 00:00:00,LEED-NC 2.2,401405.0,"Multi-Unit Residence, Retail, Other", 
The Harrison,76th street and amsterdam avenue,new york,NY,10023,"76th street and amsterdam avenue, new york, NY 10023",Silver,2010-10-05 00:00:00,LEED-NC 2.2,327515.0,"Multi-Unit Residence, Retail",Assistant VP
Haworth New YorkShowroom,125 Park Avenue,New York,NY,10017,"125 Park Avenue, New York, NY 10017",Gold,2010-05-14 00:00:00,LEED-CI 2.0,30000.0,Commercial Office,"Haworth, Inc."
National Audubon Society Headquarters,225 Varick St. 7th floor,New York,NY,10014,"225 Varick St. 7th floor, New York, NY 10014",Platinum,2008-10-29 00:00:00,LEED-CI 2.0,24180.0,Commercial Office,National Audubon Society
Harsen House,120 West 72nd Street,New York,NY,10023,"120 West 72nd Street, New York, NY 10023",Silver,2010-03-09 00:00:00,LEED-NC 2.2,60000.0,"Multi-Unit Residence, Retail", 
Greenhouse,532 west 27th street,new york,NY,10011,"532 west 27th street, new york, NY 10011",,,LEED-CI 2.0,3800.0,Other, 
40th Street,14-20 W 40th Street,New York,NY,10018,"14-20 W 40th Street, New York, NY 10018",,,LEED-NC 2.2,187000.0,"Multi-Unit Residence, Retail, Hotel/Resort", 
Rockefeller University - CRC,1230 York Avenue,New York,NY,10021,"1230 York Avenue, New York, NY 10021",Silver,2013-07-26 00:00:00,LEED-NC 2.2,260000.0,"Laboratory, Higher Education", 
The 52nd Street Project,515 West 52nd St,New York,NY,10019,"515 West 52nd St, New York, NY 10019",Gold,2012-02-03 00:00:00,LEED-CI 2.0,15000.0,"K-12 Education, Community Dev., Assembly",The 52nd Street
